Ticker,Beta,Dividend_Yield,Forward_PE,Trailing_PE,Market_Cap,Trailing_EPS,Forward_EPS,PEG_Ratio,Price_To_Book,EV_to_EBITDA,Free_Cash_Flow,Debt_to_Equity,Earnings_Growth,Ebitda_Margins,Quick_Ratio,Target_Mean_Price,Return_on_Equity,Revenue_Growth,Current_Ratio,Current_Price,ETF,date
UNH,0.591,0.0138,20.348553,39.649124,561557340160.0,15.39,29.9,,5.9577627,17.431,-2398249984.0,74.683,0.037,0.08894,0.833,628.0822,0.15252,0.092,0.908,610.2,XLV,2024-11-29
JNJ,0.518,0.0319,14.583151,25.621487,373205172224.0,6.05,10.6,,5.318762,12.964,19922499584.0,50.958,-0.897,0.34268,0.705,174.8887,0.20889,0.052,1.029,155.01,XLV,2024-11-29
PFE,0.615,0.065,8.9897585,34.946667,148531806208.0,0.75,2.93,,1.6091601,11.142,11420749824.0,73.408,,0.30932,0.64,32.63167,0.04538,0.312,1.0,26.21,XLV,2024-11-29
ABBV,0.613,0.0358,15.061459,63.738674,323262906368.0,2.87,12.13,,53.598003,15.123,17738999808.0,1174.815,-0.122,0.46153,0.436,204.73517,0.56407,0.038,0.645,182.93,XLV,2024-11-29
LLY,0.43,0.0066000004,35.19469,85.5215,715270914048.0,9.3,22.66,,50.259083,44.465,-1306887552.0,218.081,,0.40541,0.63,992.18176,0.65318,0.204,1.273,795.35,XLV,2024-11-29
MRK,0.411,0.031400003,10.7158785,21.263597,257112604672.0,4.78,9.4,,5.7828856,12.406,14019624960.0,85.572,-0.335,0.36293,0.917,130.89114,0.28332,0.044,1.364,101.64,XLV,2024-11-29
TMO,0.792,0.003,22.492195,33.184837,202583474176.0,15.96,23.49,,4.1350207,21.594,6782374912.0,72.329,-0.05,0.24975,1.126,653.94,0.12944001,0.002,1.629,529.63,XLV,2024-11-29
ABT,0.722,0.0185,23.020788,36.100304,206001815552.0,3.29,5.16,,5.1765165,19.751,6404874752.0,37.589,0.146,0.26263002,0.996,129.87125,0.14840001,0.049,1.597,118.77,XLV,2024-11-29
DHR,0.881,0.0045,28.497137,45.224525,173122093056.0,5.3,8.38,,3.374395,25.124,5169750016.0,36.69,-0.275,0.31636,0.916,290.12918,0.07586,0.031,1.371,239.69,XLV,2024-11-29
BMY,0.441,0.0405,8.389302,,120108818432.0,-3.58,7.03,,7.005797,8.538,17518125056.0,299.052,-0.372,0.40396,1.016,59.64182,-0.3133,0.084,1.24,59.22,XLV,2024-11-29
AMGN,0.599,0.0321,13.708701,36.080357,152051957760.0,7.84,20.67,,20.199228,16.488,4574875136.0,802.418,0.636,0.37644002,0.804,330.93185,0.5572,0.232,1.318,282.87,XLV,2024-11-29
CVS,0.543,0.045900002,9.367165,15.190354,75315838976.0,3.94,6.48,,1.0046328,10.357,1957624960.0,110.116,-0.962,0.038429998,0.542,68.3476,0.06697,0.06,0.796,59.85,XLV,2024-11-29
MDT,0.853,0.032,14.814663,26.464832,110969380864.0,3.27,5.85,,2.2600021,14.709,4904750080.0,57.859,0.317,0.27667,1.347,96.43,0.07948,0.028,2.133,86.54,XLV,2024-11-29
ELV,0.853,0.0162,11.52921,14.814707,94383382528.0,27.47,34.95,,2.1561594,7.29,-1112249984.0,61.87,-0.212,0.06521,1.34,520.1216,0.15504,0.054,1.495,406.96,XLV,2024-11-29
CI,0.511,0.0166,10.698099,31.958372,93960077312.0,10.57,31.32,,2.2429087,14.138,-3041999872.0,80.15,-0.475,0.03724,0.606,399.00293,0.07606,0.28,0.863,337.8,XLV,2024-11-29
ZTS,0.896,0.0098,27.327517,32.941727,79066660864.0,5.32,6.34,,15.11949,22.528,1872249984.0,129.442,0.144,0.41127998,1.836,214.784,0.47303,0.11,3.691,175.25,XLV,2024-11-29
GILD,0.192,0.033299997,12.351395,1028.6666,115379675136.0,0.09,7.43,,6.2440147,9.437,9078375424.0,126.415,-0.425,0.49291,0.962,97.20414,0.00561,0.07,1.26,92.58,XLV,2024-11-29
VRTX,0.394,,24.911398,,120557051904.0,-1.9,18.77,,7.719058,25.837,3063387392.0,11.35,0.01,0.41847,2.083,514.805,-0.029849999,0.116,2.468,468.13,XLV,2024-11-29
ISRG,1.389,,69.252075,87.56058,193049018368.0,6.19,7.86,,12.388854,74.92,637524992.0,,0.359,0.31844,3.293,536.4277,0.15973,0.169,4.303,542.0,XLV,2024-11-29
BDX,0.45,0.0175,14.200909,37.866894,64156168192.0,5.86,15.73,,2.480161,16.072,4431000064.0,77.612,2.898,0.25767002,1.197,281.095,0.05633,0.069,1.848,221.9,XLV,2024-11-29
REGN,0.142,,16.55512,18.542263,82441674752.0,40.46,45.31,,2.757756,16.121,2247637504.0,9.221,0.33,0.33206,4.344,1078.1096,0.17166,0.106,5.281,750.22,XLV,2024-11-29
SYK,0.92,0.0082,29.03361,42.07618,149493858304.0,9.32,13.53,,7.419355,27.98,2775124992.0,79.443,0.205,0.25908002,1.098,396.81143,0.18868,0.119,1.913,392.15,XLV,2024-11-29
EW,1.12,,28.880442,27.548264,42082230272.0,2.59,2.45,,4.408675,18.921,1792337536.0,7.353,6.978,0.32501,2.704,76.605,0.19139,0.089,3.461,71.35,XLV,2024-11-29
HUM,0.52,0.0119,17.222383,25.884718,35687411712.0,11.45,16.84,,2.0317395,6.619,-10629000192.0,75.908,-0.423,0.03286,1.404,288.15,0.078379996,0.113,1.758,296.38,XLV,2024-11-29
MRNA,1.69,,-4.859365,,16570262528.0,-5.81,-8.7,,1.3899739,-4.735,-3337125120.0,11.361,,-0.46487,3.954,76.36364,-0.17524,0.017,4.392,43.06,XLV,2024-11-29
BSX,0.797,,32.499054,74.92562,133617434624.0,1.21,2.79,,6.450833,35.135,1804875008.0,53.722,-0.071,0.25536,0.847,96.99935,0.08916,0.193,1.482,90.66,XLV,2024-11-29
CNC,0.493,,8.318648,10.362695,30291900416.0,5.79,7.04,,1.1207621,5.135,1001500032.0,64.231,0.52,0.04048,1.051,81.71588,0.11559,0.061,1.098,60.0,XLV,2024-11-29
MCK,0.436,0.0045,17.166422,32.46384,79781789696.0,19.36,36.81,,,17.308,4385500160.0,,-0.637,0.01481,0.473,641.325,,0.213,0.908,628.5,XLV,2024-11-29
IQV,1.513,,16.537281,26.391588,36452458496.0,7.61,12.07,,5.2349796,17.262,1998375040.0,200.258,-0.059,0.18459,0.71,252.18304,0.22001,0.043,0.805,200.84,XLV,2024-11-29
HCA,1.689,0.0081,13.298496,14.69991,82883837952.0,22.26,24.55,,,9.261,4146749952.0,5711.069,0.177,0.19745001,0.866,404.18784,11.954511,0.079,1.118,327.22,XLV,2024-11-29
A,1.072,0.0074,22.504587,31.14447,39348076544.0,4.43,5.65,,6.720409,25.562,879500032.0,52.787,1.541,0.24073,1.258,148.64412,0.24658,-0.056,1.781,137.97,XLV,2024-11-29
RMD,0.687,0.0085,24.2239,33.070385,36555141120.0,7.53,10.29,,7.0356555,22.674,1120541440.0,16.366,0.419,0.33951,1.435,253.39365,0.23565,0.111,2.921,249.02,XLV,2024-11-29
BAX,0.604,0.020399999,13.433703,134.84,17211920384.0,0.25,2.88,,2.18598,10.514,102375000.0,166.129,-0.944,0.18218,0.517,40.32167,0.01627,0.038,1.43,33.71,XLV,2024-11-29
BIIB,-0.061,,9.635134,14.523508,23406845952.0,11.06,16.66,,1.4306455,9.789,2030687488.0,40.656,,0.30029,0.68,251.6969,0.1047,-0.025,1.259,160.63,XLV,2024-11-29
IDXX,1.357,,35.488327,40.63102,34534875136.0,10.38,11.96,,21.383665,27.108,792041600.0,61.696,0.097,0.33797002,0.888,476.76,0.59424,0.066,1.421,421.75,XLV,2024-11-29
DXCM,1.173,,38.520237,47.266666,30462502912.0,1.65,2.03,,15.39175,36.416,353224992.0,130.935,0.115,0.21254,2.033,95.26333,0.32061002,0.02,2.458,77.99,XLV,2024-11-29
ILMN,1.131,,32.404106,,22862188544.0,-9.98,4.42,,10.718268,33.74,343124992.0,125.835,,0.16629,1.696,164.5972,-0.39511,-0.035,2.434,144.15,XLV,2024-11-29
MTD,1.159,,29.547915,33.77058,26403696640.0,37.05,42.6,,,24.723,773193472.0,,0.049,0.30366,0.598,1327.9292,,0.013,1.011,1251.2,XLV,2024-11-29
LH,1.036,0.0119,15.1034155,45.67424,20170452992.0,5.28,16.02,,2.4705727,15.851,694400000.0,95.001,-0.076,0.13164,1.097,261.0625,0.05432,0.074,1.439,241.16,XLV,2024-11-29
WST,1.003,0.0026,43.263634,48.392273,23586527232.0,6.73,7.52,,8.579557,31.197,201687504.0,11.188,-0.157,0.2589,2.047,361.56888,0.17778,-0.001,3.002,325.68,XLV,2024-11-29
ABC,,,,,,,,,,,,,,,,,,,,,XLV,2024-11-29
ZBH,1.021,0.0086,13.071819,21.393131,22316195840.0,5.24,8.6,,1.808152,11.097,1221187456.0,53.611,0.531,0.3367,0.574,124.92038,0.08713,0.04,1.362,112.1,XLV,2024-11-29
STE,0.851,0.0105,22.043774,36.75503,21622820864.0,5.96,9.97,,3.2794397,17.886,653338240.0,36.303,0.301,0.24892001,1.36,249.39,0.092700005,0.073,2.406,219.06,XLV,2024-11-29
WAT,0.973,,29.78975,36.709927,22843211776.0,10.48,12.93,,14.247306,24.357,647210112.0,120.473,0.2,0.34698,1.227,375.45413,0.4964,0.04,2.019,384.72,XLV,2024-11-29
ALGN,1.65,,22.682514,39.721844,17377003520.0,5.86,10.26,,4.411698,19.79,413269120.0,3.235,-0.045,0.20708,1.067,261.24,0.11401,0.018,1.259,232.77,XLV,2024-11-29
CTLT,1.158,,35.058834,,11092198400.0,-2.28,1.76,,3.1312768,33.948,364500000.0,139.667,,0.10448,1.69,63.42857,-0.11188,0.042,2.512,61.11,XLV,2024-11-29
HOLX,0.986,,16.875399,23.945784,18041808896.0,3.32,4.72,,3.7262716,15.149,757962496.0,49.407,0.971,0.31164,3.069,87.21533,0.13846,0.045,3.987,79.5,XLV,2024-11-29
PKI,,,,,,,,,,,,,,,,,,,,,XLV,2024-11-29
MOH,0.586,,11.384037,15.152594,17039879168.0,19.66,25.71,,3.5598202,5.667,-191500000.0,53.019,0.331,0.04832,1.496,369.20358,0.26454002,0.174,1.545,297.9,XLV,2024-11-29
DGX,0.891,0.0184,16.724451,21.833559,18155296768.0,7.45,9.76,,2.675549,13.599,853249984.0,100.708,0.004,0.18922001,1.023,167.2925,0.13224,0.084,1.254,162.66,XLV,2024-11-29
CAH,0.616,0.0165,14.131465,23.507692,29583302656.0,5.2,8.64,,,10.936,1906249984.0,,,0.01303,0.422,125.48267,,-0.043,0.949,122.24,XLV,2024-11-29
INCY,0.71,,12.363913,828.7777,14369762304.0,0.09,6.14,,4.534898,158.99,482474624.0,1.151,-0.378,0.01975,1.687,78.30696,0.00802,0.238,1.87,74.59,XLV,2024-11-29
COO,0.99,0.0002,25.737177,58.033333,20803835904.0,1.8,4.08,,2.6243594,22.872,148775008.0,36.711,0.227,0.26892,0.875,114.29429,0.0465,0.078,1.987,104.46,XLV,2024-11-29
TECH,1.278,0.0042,34.313034,79.32632,11974100992.0,0.95,2.19,,5.5983953,39.507,232410496.0,18.653,-0.341,0.26333,2.893,85.24846,0.07287,0.045,4.563,75.36,XLV,2024-11-29
VTRS,0.929,0.0363,4.929169,,15624093696.0,-0.73,2.67,,0.7894102,6.485,4145687552.0,80.912,-0.714,0.30479,0.819,13.325,-0.043449998,-0.048,1.505,13.09,XLV,2024-11-29
ABMD,,,,,,,,,,,,,,,,,,,,,XLV,2024-11-29
TFX,1.177,0.0070999996,12.625792,38.188118,8956667904.0,5.05,15.27,,1.9985077,16.39,292785504.0,42.669,-0.191,0.21315001,1.178,245.00923,0.05412,0.024,2.423,192.85,XLV,2024-11-29
HSIC,0.867,,14.8142605,31.57787,9606671360.0,2.44,5.2,,2.7528672,15.203,542499968.0,60.189,-0.277,0.07377,0.61,74.81818,0.06334,0.004,1.416,77.05,XLV,2024-11-29
CRL,1.376,,19.247894,24.8825,10179172352.0,8.0,10.28,,2.6911635,13.496,495273760.0,72.176,-0.203,0.23363,0.953,216.27422,0.11924,-0.016,1.477,199.06,XLV,2024-11-29
BIO,0.936,,29.683784,,9521082368.0,-28.09,11.65,,1.273176,19.115,91243872.0,18.538,5.147,0.18738002,4.208,402.33334,-0.09792,0.028,6.136,340.53,XLV,2024-11-29
OGN,0.796,0.0701,3.74645,3.142574,4087143936.0,5.05,4.23,,8.291535,6.86,622875008.0,1774.645,5.19,0.27524,0.893,22.375,,0.041,1.705,15.87,XLV,2024-11-29
XRAY,1.027,0.0326,9.870552,,3906027008.0,-2.03,2.0,,1.5682362,9.856,405000000.0,93.815,,0.15461999,0.627,24.34615,-0.13991,0.004,1.246,19.65,XLV,2024-11-29
UHS,1.297,0.0039,11.308217,13.648468,13522948096.0,15.02,18.16,,2.047175,8.712,696929152.0,76.373,0.549,0.13777,1.154,240.81,0.16341,0.112,1.393,205.0,XLV,2024-11-29
DVA,0.887,,14.590894,17.90625,13629927424.0,9.28,11.27,,35.506413,9.979,1114835072.0,549.552,-0.13,0.20982,1.265,156.90222,0.44884,0.046,1.371,166.17,XLV,2024-11-29
